Count,ProcessID,Data(Bytes),Time (Seconds)
723,2501,4096,1.000094
724,4340,4096,1.000094
725,4864,4096,1.000094
726,5198,4096,1.000094
727,31826,4096,1.000094
728,4414,4096,1.000094
729,28302,4096,1.000095
730,28952,4096,1.000095
731,29267,4096,1.000095
732,32253,4096,1.000095
733,1007,4096,1.000095
734,2143,4096,1.000095
735,2607,4096,1.000095
736,4755,4096,1.000095
737,31590,4096,1.000095
738,5864,4096,1.000095
739,6707,4096,1.000095
740,28929,4096,1.000096
741,29468,4096,1.000096
742,30426,4096,1.000096
743,32069,4096,1.000096
744,1894,4096,1.000096
745,3763,4096,1.000096
746,3015,4096,1.000096
747,28200,4096,1.000097
748,32057,4096,1.000097
749,1513,4096,1.000097
750,32518,4096,1.000097
751,3109,4096,1.000097
752,6702,4096,1.000097
753,29020,4096,1.000098
754,29630,4096,1.000098
755,29805,4096,1.000098
756,4116,4096,1.000098
757,32179,4096,1.000098
758,2424,4096,1.000098
759,4376,4096,1.000098
760,8118,4096,1.000098
761,27158,4096,1.000099
762,27713,4096,1.000099
763,28648,4096,1.000099
764,28734,4096,1.000099
765,29656,4096,1.000099
766,31746,4096,1.000099
767,32359,4096,1.000099
768,1504,4096,1.000099
769,1696,4096,1.000099
770,3594,4096,1.000099
771,7118,4096,1.000099
772,28091,4096,1.0001
773,28195,4096,1.0001
774,31937,4096,1.0001
775,1809,4096,1.0001
776,31824,4096,1.0001
777,3465,4096,1.0001
778,7502,4096,1.0001
779,7995,4096,1.0001
780,29750,4096,1.000101
781,30844,4096,1.000101
782,32445,4096,1.000101
783,4441,4096,1.000101
784,30362,4096,1.000101
785,1483,4096,1.000101
786,2838,4096,1.000101
787,27808,4096,1.000102
788,27925,4096,1.000102
789,29627,4096,1.000102
790,30420,4096,1.000102
791,1232,4096,1.000102
792,2654,4096,1.000102
793,2829,4096,1.000102
794,4224,4096,1.000102
795,31830,4096,1.000102
796,31976,4096,1.000102
797,1023,4096,1.000102
798,1916,4096,1.000102
799,7697,4096,1.000102
800,26895,4096,1.000103
801,29887,4096,1.000103
802,30429,4096,1.000103
803,31183,4096,1.000103
804,1270,4096,1.000103
805,2674,4096,1.000103
806,28466,4096,1.000104
807,30224,4096,1.000104
808,31217,4096,1.000104
809,3119,4096,1.000104
810,30149,4096,1.000104
811,32749,4096,1.000104
812,2157,4096,1.000104
813,3473,4096,1.000104
814,7010,4096,1.000104
815,7481,4096,1.000104
816,31700,4096,1.000105
817,1488,4096,1.000105
818,3682,4096,1.000105
819,5249,4096,1.000105
820,5998,4096,1.000105
821,30850,4096,1.000106
822,31216,4096,1.000106
823,4498,4096,1.000106
824,1950,4096,1.000106
825,1971,4096,1.000106
826,28681,4096,1.000107
827,32681,4096,1.000107
828,31810,4096,1.000107
829,3371,4096,1.000107
830,5750,4096,1.000107
831,7948,4096,1.000107
832,8162,4096,1.000107
833,8737,4096,1.000107
834,27250,4096,1.000108
835,29810,4096,1.000108
836,4887,4096,1.000108
837,31306,4096,1.000108
838,32149,4096,1.000108
839,4102,4096,1.000108
840,8645,4096,1.000108
841,29882,4096,1.000109
842,5404,4096,1.000109
843,31593,4096,1.000109
844,31944,4096,1.000109
845,32316,4096,1.000109
846,32765,4096,1.000109
847,5747,4096,1.000109
848,27358,4096,1.00011
849,28393,4096,1.00011
850,28660,4096,1.00011
851,32767,4096,1.00011
852,3269,4096,1.00011
853,30975,4096,1.00011
854,30976,4096,1.00011
855,32403,4096,1.00011
856,1461,4096,1.00011
857,4669,4096,1.00011
858,6059,4096,1.00011
859,1834,4096,1.000111
860,3280,4096,1.000111
861,3343,4096,1.000111
862,4344,4096,1.000111
863,32563,4096,1.000111
864,856,4096,1.000111
865,2010,4096,1.000111
866,4518,4096,1.000111
867,28013,4096,1.000112
868,28611,4096,1.000112
869,28945,4096,1.000112
870,948,4096,1.000112
871,31323,4096,1.000112
872,32292,4096,1.000112
873,794,4096,1.000112
874,1101,4096,1.000112
875,6104,4096,1.000112
876,32367,4096,1.000113
877,5391,4096,1.000113
878,31269,4096,1.000113
879,31626,4096,1.000113
880,4916,4096,1.000113
881,5200,4096,1.000113
882,5978,4096,1.000113
883,30161,4096,1.000114
884,30694,4096,1.000114
885,1029,4096,1.000114
886,2402,4096,1.000114
887,4926,4096,1.000114
888,31607,4096,1.000114
889,730,4096,1.000114
890,5861,4096,1.000114
891,6088,4096,1.000114
892,29597,4096,1.000115
893,29820,4096,1.000115
894,32396,4096,1.000115
895,1760,4096,1.000115
896,4161,4096,1.000115
897,32512,4096,1.000115
898,1198,4096,1.000115
899,3955,4096,1.000115
900,6876,4096,1.000115
901,7029,4096,1.000115
902,28035,4096,1.000116
903,31261,4096,1.000116
904,1017,4096,1.000116
905,31388,4096,1.000116
906,32131,4096,1.000116
907,766,4096,1.000116
908,8570,4096,1.000116
909,32289,4096,1.000117
910,1054,4096,1.000117
911,2776,4096,1.000117
912,3761,4096,1.000117
913,4841,4096,1.000117
914,28336,4096,1.000118
915,32202,4096,1.000118
916,1261,4096,1.000118
917,2540,4096,1.000118
918,30114,4096,1.000119
919,2173,4096,1.000119
920,1472,4096,1.000119
921,4939,4096,1.000119
922,7997,4096,1.000119
923,29732,4096,1.00012
924,31312,4096,1.00012
925,715,4096,1.00012
926,797,4096,1.00012
927,31907,4096,1.000121
928,1032,4096,1.000121
929,4042,4096,1.000121
930,31597,4096,1.000121
931,31630,4096,1.000121
932,31784,4096,1.000121
933,29869,4096,1.000122
934,32576,4096,1.000122
935,4672,4096,1.000122
936,5260,4096,1.000122
937,29489,4096,1.000123
938,2872,4096,1.000123
939,2905,4096,1.000123
940,3216,4096,1.000123
941,4786,4096,1.000123
942,3148,4096,1.000124
943,8331,4096,1.000124
944,28332,4096,1.000125
945,31094,4096,1.000125
946,32226,4096,1.000125
947,4005,4096,1.000125
948,2172,4096,1.000126
949,3362,4096,1.000126
950,5709,4096,1.000126
951,5949,4096,1.000126
952,27322,4096,1.000127
953,1648,4096,1.000127
954,5301,4096,1.000127
955,31273,4096,1.000127
956,2182,4096,1.000127
957,2327,4096,1.000127
958,1027,4096,1.000128
959,1777,4096,1.000128
960,2966,4096,1.000128
961,31833,4096,1.000128
962,7095,4096,1.000128
963,30428,4096,1.000129
964,460,4096,1.000129
965,784,4096,1.000129
966,31956,4096,1.000129
967,4509,4096,1.000129
968,4304,4096,1.00013
969,31703,4096,1.00013
970,31761,4096,1.00013
971,8711,4096,1.00013
972,317,4096,1.000131
973,7035,4096,1.000131
974,8280,4096,1.000131
975,31051,4096,1.000132
976,720,4096,1.000132
977,5558,4096,1.000132
978,7534,4096,1.000132
979,32155,4096,1.000133
980,29335,4096,1.000134
981,32616,4096,1.000134
982,2397,4096,1.000134
983,6830,4096,1.000134
984,3143,4096,1.000135
985,27756,4096,1.000136
986,1365,4096,1.000137
987,1922,4096,1.000137
988,6109,4096,1.000137
989,6531,4096,1.000137
990,1486,4096,1.000138
991,2326,4096,1.000138
992,2191,4096,1.000139
993,5423,4096,1.000139
994,810,4096,1.00014
995,5955,4096,1.00014
996,4647,4096,1.000141
997,31962,4096,1.000142
998,5766,4096,1.000142
999,4889,4096,1.000144
1000,8469,4096,1.000151
1001,29737,4096,1.000153
1002,30110,4096,1.000153
1003,8458,4096,1.000158
1004,2434,4096,1.000162
1005,6667,4096,1.000167
1006,4399,4096,1.000177
1007,31946,4096,1.000575
1008,2292,4096,1.000764
1009,28993,8192,2.000027
1010,27851,8192,2.00003
1011,31427,8192,2.000031
1012,718,8192,2.000031
1013,4309,8192,2.000033
1014,30284,8192,2.000033
1015,32289,8192,2.000035
1016,770,8192,2.000037
1017,727,7168,2.000038
1018,29000,8192,2.000039
1019,32441,8192,2.000039
1020,3132,8192,2.000039
1021,27871,8192,2.000041
1022,30239,8192,2.000041
1023,1781,8192,2.000041
1024,30479,8192,2.000042
1025,32297,8192,2.000042
1026,27009,8192,2.000043
1027,29531,8192,2.000043
1028,30519,8192,2.000043
1029,29005,8192,2.000045
1030,2316,8192,2.000045
1031,32651,8192,2.000046
1032,32755,8192,2.000046
1033,27706,8192,2.000047
1034,4571,8192,2.000047
1035,30518,8192,2.000047
1036,1637,8192,2.000047
1037,7975,8192,2.000047
1038,30699,8192,2.000048
1039,4833,8192,2.000048
1040,774,8192,2.000049
1041,30744,8192,2.000049
1042,31222,8192,2.000049
1043,4065,8192,2.000049
1044,6041,8192,2.000049
1045,32301,8192,2.00005
1046,5010,8192,2.00005
1047,28419,8192,2.000051
1048,30145,8192,2.000051
